# Original source data from: https://www.kaggle.com/datasets/maryanalyze/tables-on-transistor-count-wikipedia-page/data
Name,Transistor Count,Year,Manufacturer,Process,Area,Source File
RV710,242000000,2008,ATI,55 nm,73 mm2,Transistor_count_3.csv
"SPARC64 VII (64-bit, SIMD, large caches)",600000000,2008,Fujitsu,65 nm,445 mm2,Transistor_count_2.csv
G94 Tesla,505000000,2008,Nvidia,65 nm,240 mm2,Transistor_count_3.csv
G96 Tesla,314000000,2008,Nvidia,65 nm,144 mm2,Transistor_count_3.csv
RV620,181000000,2008,ATI,55 nm,67 mm2,Transistor_count_3.csv
GT200,1400000000,2008,Nvidia,65 nm,576 mm2,Transistor_count_3.csv
G98 Tesla,210000000,2008,Nvidia,65 nm,86 mm2,Transistor_count_3.csv
"Six-core Xeon 7400 (64-bit, SIMD, large caches)",1900000000,2008,Intel,45 nm,503 mm2,Transistor_count_2.csv
GT218 Tesla,260000000,2009,Nvidia,40 nm,57 mm2,Transistor_count_3.csv
GT216 Tesla,486000000,2009,Nvidia,40 nm,100 mm2,Transistor_count_3.csv
GT215 Tesla,727000000,2009,Nvidia,40 nm,144 mm2,Transistor_count_3.csv
RV740,826000000,2009,ATI,40 nm,137 mm2,Transistor_count_3.csv
Cypress RV870,2154000000,2009,ATI,40 nm,334 mm2,Transistor_count_3.csv
Juniper RV840,1040000000,2009,ATI,40 nm,166 mm2,Transistor_count_3.csv
"Six-core Opteron 2400 (64-bit, SIMD, large caches)",904000000,2009,AMD,45 nm,346 mm2,Transistor_count_2.csv
"SPARC64 VIIIfx (64-bit, SIMD, large caches)",760000000,2009,Fujitsu,45 nm,513 mm2,Transistor_count_2.csv
"SPARC T3 (16-core 64-bit, SIMD, large caches)",1000000000,2010,Sun/Oracle,40 nm,377 mm2,Transistor_count_2.csv
Six-core Core i7 (Gulftown),1170000000,2010,Intel,32 nm,240 mm2,Transistor_count_2.csv
THGBM2,256000000000,2010,Toshiba,32 nm,374 mm2,Transistor_count_6.csv
"POWER7 32M L3 (8-core 64-bit, SIMD, large caches)",1200000000,2010,IBM,45 nm,567 mm2,Transistor_count_2.csv
"Quad-core Itanium Tukwila (64-bit, SIMD, large caches)",2000000000,2010,Intel,65 nm,699 mm2,Transistor_count_2.csv
"Xeon Nehalem-EX (8-core 64-bit, SIMD, large caches)",2300000000,2010,Intel,45 nm,684 mm2,Transistor_count_2.csv
GF106 Fermi,1170000000,2010,Nvidia,40 nm,238 mm2,Transistor_count_3.csv
GF100 Fermi,3200000000,2010,Nvidia,40 nm,526 mm2,Transistor_count_3.csv
Barts RV940,1700000000,2010,AMD,40 nm,255 mm2,Transistor_count_3.csv
Cayman RV970,2640000000,2010,AMD,40 nm,389 mm2,Transistor_count_3.csv
Cedar RV810,292000000,2010,AMD,40 nm,59 mm2,Transistor_count_3.csv
Redwood RV830,627000000,2010,AMD (ATI),40 nm,104 mm2,Transistor_count_3.csv
"Quad-core z196 (64-bit, very large caches)",1400000000,2010,IBM,45 nm,512 mm2,Transistor_count_2.csv
GF110 Fermi,3000000000,2010,Nvidia,40 nm,520 mm2,Transistor_count_3.csv
"Six-core Core i7/8-core Xeon E5
 (Sandy Bridge-E/EP) (64-bit, SIMD, large caches)",2270000000,2011,Intel,32 nm,434 mm2,Transistor_count_2.csv
,3800000000,2011,Altera,28 nm,,Transistor_count_4.csv
,6800000000,2011,Xilinx,28 nm,,Transistor_count_4.csv
"Xeon Westmere-EX (10-core 64-bit, SIMD, large caches)",2600000000,2011,Intel,32 nm,512 mm2,Transistor_count_2.csv
"SPARC64 IXfx (64-bit, SIMD, large caches)",1870000000,2011,Fujitsu,40 nm,484 mm2,Transistor_count_2.csv
"Quad-core + GPU Core i7 (64-bit, SIMD, large caches)",1160000000,2011,Intel,32 nm,216 mm2,Transistor_count_2.csv
KLMCG8GE4A,256000000000,2011,Samsung,?,192 mm2,Transistor_count_6.csv
GF104 Fermi,1950000000,2011,Nvidia,40 nm,332 mm2,Transistor_count_3.csv
Caicos RV910,370000000,2011,AMD,40 nm,67 mm2,Transistor_count_3.csv
GF119 Fermi,292000000,2011,Nvidia,40 nm,79 mm2,Transistor_count_3.csv
Tahiti GCN1,4312711873,2011,AMD,28 nm,365 mm2,Transistor_count_3.csv
Turks RV930,716000000,2011,AMD,40 nm,118 mm2,Transistor_count_3.csv
GF108 Fermi,585000000,2011,Nvidia,40 nm,116 mm2,Transistor_count_3.csv
Cape Verde GCN1,1500000000,2012,AMD,28 nm,123 mm2,Transistor_count_3.csv
GK110 Kepler,7080000000,2012,Nvidia,28 nm,561 mm2,Transistor_count_3.csv
GK104 Kepler,3540000000,2012,Nvidia,28 nm,294 mm2,Transistor_count_3.csv
GK106 Kepler,2540000000,2012,Nvidia,28 nm,221 mm2,Transistor_count_3.csv
GK107 Kepler,1270000000,2012,Nvidia,28 nm,118 mm2,Transistor_count_3.csv
"Atom ""Medfield"" (64-bit)",432000000,2012,Intel,32 nm,64 mm2,Transistor_count_2.csv
Pitcairn GCN1,2800000000,2012,AMD,28 nm,212 mm2,Transistor_count_3.csv
"SPARC64 X (64-bit, SIMD, caches)",2990000000,2012,Fujitsu,28 nm,600 mm2,Transistor_count_2.csv
"AMD Bulldozer (8-core 64-bit, SIMD, caches)",1200000000,2012,AMD,32 nm,315 mm2,Transistor_count_2.csv
"Quad-core + GPU AMD Trinity (64-bit, SIMD, caches)",1303000000,2012,AMD,32 nm,246 mm2,Transistor_count_2.csv
"Quad-core + GPU Core i7 Ivy Bridge (64-bit, SIMD, caches)",1400000000,2012,Intel,22 nm,160 mm2,Transistor_count_2.csv
"POWER7+ (8-core 64-bit, SIMD, 80 MB L3 cache)",2100000000,2012,IBM,32 nm,567 mm2,Transistor_count_2.csv
"Six-core zEC12 (64-bit, SIMD, large caches)",2750000000,2012,IBM,32 nm,597 mm2,Transistor_count_2.csv
"Itanium Poulson (8-core 64-bit, SIMD, caches)",3100000000,2012,Intel,32 nm,544 mm2,Transistor_count_2.csv
"Xeon Phi (61-core 32-bit, 512-bit SIMD, caches)",5000000000,2012,Intel,22 nm,720 mm2,Transistor_count_2.csv
"Xbox One main SoC (64-bit, SIMD, caches)",5000000000,2013,Microsoft/AMD,28 nm,363 mm2,Transistor_count_2.csv
GK208 Kepler,1020000000,2013,Nvidia,28 nm,79 mm2,Transistor_count_3.csv
Oland GCN1,1040000000,2013,AMD,28 nm,90 mm2,Transistor_count_3.csv
Bonaire GCN2,2080000000,2013,AMD,28 nm,160 mm2,Transistor_count_3.csv
Durango (Xbox One),4800000000,2013,AMD,28 nm,375 mm2,Transistor_count_3.csv
Hawaii GCN2,6300000000,2013,AMD,28 nm,438 mm2,Transistor_count_3.csv
"Apple A7 (dual-core 64/32-bit ARM64, ""mobile SoC"", SIMD, caches)",1000000000,2013,Apple,28 nm,102 mm2,Transistor_count_2.csv
"Six-core Core i7 Ivy Bridge E (64-bit, SIMD, caches)",1860000000,2013,Intel,22 nm,256 mm2,Transistor_count_2.csv
"POWER8 (12-core 64-bit, SIMD, caches)",4200000000,2013,IBM,22 nm,650 mm2,Transistor_count_2.csv
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2000000000,2014,Apple,20 nm,89 mm2,Transistor_count_2.csv
"Core i7 Haswell-E (8-core 64-bit, SIMD, caches)",2600000000,2014,Intel,22 nm,355 mm2,Transistor_count_2.csv
"Xeon Ivy Bridge-EX (15-core 64-bit, SIMD, caches)",4310000000,2014,Intel,22 nm,541 mm2,Transistor_count_2.csv
"Xeon Haswell-E5 (18-core 64-bit, SIMD, caches)",5560000000,2014,Intel,22 nm,661 mm2,Transistor_count_2.csv
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000,2014,Apple,20 nm,128 mm2,Transistor_count_2.csv
,5300000000,2014,Altera,20 nm,,Transistor_count_4.csv
"Quad-core + GPU Core i7 Haswell (64-bit, SIMD, caches)",1400000000,2014,Intel,22 nm,177 mm2,Transistor_count_2.csv
GM204 Maxwell,5200000000,2014,Nvidia,28 nm,398 mm2,Transistor_count_3.csv
GM206 Maxwell,2940000000,2014,Nvidia,28 nm,228 mm2,Transistor_count_3.csv
GM107 Maxwell,1870000000,2014,Nvidia,28 nm,148 mm2,Transistor_count_3.csv
Tonga GCN3,5000000000,2014,AMD,28 nm,366 mm2,Transistor_count_3.csv
"SPARC M7 (32-core 64-bit, SIMD, caches)",10000000000,2015,Oracle,20 nm,?,Transistor_count_2.csv
,20000000000,2015,Xilinx,20 nm,,Transistor_count_4.csv
IBM z13 Storage Controller,7100000000,2015,IBM,22 nm,678 mm2,Transistor_count_2.csv
"IBM z13 (64-bit, caches)",3990000000,2015,IBM,22 nm,678 mm2,Transistor_count_2.csv
Fiji GCN3,8900000000,2015,AMD,28 nm,596 mm2,Transistor_count_3.csv
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2000000000,2015,Apple,"14 nm
(Samsung)","96 mm2
(Samsung)",Transistor_count_2.csv
"Dual-core + GPU Iris Core i7 Broadwell-U (64-bit, SIMD, caches)",1900000000,2015,Intel,14 nm,133 mm2,Transistor_count_2.csv
"Quad-core + GPU GT2 Core i7 Skylake K (64-bit, SIMD, caches)",1750000000,2015,Intel,14 nm,122 mm2,Transistor_count_2.csv
GM200 Maxwell,8000000000,2015,Nvidia,28 nm,601 mm2,Transistor_count_3.csv
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000,2015,Apple,16 nm,143.9 mm2,Transistor_count_2.csv
"Xeon Phi (72-core 64-bit, 512-bit SIMD, caches)",8000000000,2016,Intel,14 nm,683 mm2,Transistor_count_2.csv
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000,2016,Qualcomm,10 nm,72.3 mm2,Transistor_count_2.csv
"Core i7 Broadwell-E (10-core 64-bit, SIMD, caches)",3200000000,2016,Intel,14 nm,246 mm2,Transistor_count_2.csv
"Apple A10 Fusion (quad-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3300000000,2016,Apple,16 nm,125 mm2,Transistor_count_2.csv
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4000000000,2016,Huawei,16 nm,110.00 mm2,Transistor_count_2.csv
"Xeon Broadwell-E5 (22-core 64-bit, SIMD, caches)",7200000000,2016,Intel,14 nm,456 mm2,Transistor_count_2.csv
"Zip CPU (32-bit, for FPGAs)",12866,2016,Gisselquist Technology,?,?,Transistor_count_2.csv
Durango 2 (Xbox One S),5000000000,2016,AMD,16 nm,240 mm2,Transistor_count_3.csv
GP104 Pascal,7200000000,2016,Nvidia,16 nm,314 mm2,Transistor_count_3.csv
Neo (PlayStation 4 Pro),5700000000,2016,AMD,16 nm,325 mm2,Transistor_count_3.csv
Ellesmere/Polaris 10 GCN4,5700000000,2016,AMD,14 nm,232 mm2,Transistor_count_3.csv
Baffin/Polaris 11 GCN4,3000000000,2016,AMD,14 nm,123 mm2,Transistor_count_3.csv
?,34359738368,2016,Samsung,20 nm,?,Transistor_count_5.csv
GP100 Pascal,15300000000,2016,Nvidia,16 nm,610 mm2,Transistor_count_3.csv
GP102 Pascal,11800000000,2016,Nvidia,16 nm,471 mm2,Transistor_count_3.csv
GP106 Pascal,4400000000,2016,Nvidia,16 nm,200 mm2,Transistor_count_3.csv
GP107 Pascal,3300000000,2016,Nvidia,14 nm,132 mm2,Transistor_count_3.csv
KLUFG8R1EM,1365333333504,2017,Samsung,?,150 mm2,Transistor_count_6.csv
Vega 10 GCN5,12500000000,2017,AMD,14 nm,484 mm2,Transistor_count_3.csv
Scorpio (Xbox One X),6600000000,2017,AMD,16 nm,367 mm2,Transistor_count_3.csv
"Qualcomm Snapdragon 850  (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5300000000,2017,Qualcomm,10 nm,94 mm2,Transistor_count_2.csv
"Xbox One X (Project Scorpio) main SoC (64-bit, SIMD, caches)",7000000000,2017,Microsoft/AMD,16 nm,360 mm2,Transistor_count_2.csv
Lexa/Polaris 12 GCN4,2200000000,2017,AMD,14 nm,101 mm2,Transistor_count_3.csv
GP108 Pascal,1850000000,2017,Nvidia,14 nm,74 mm2,Transistor_count_3.csv
"Xeon Platinum 8180 (28-core 64-bit, SIMD, caches)",8000000000,2017,Intel,14 nm,?,Transistor_count_2.csv
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5500000000,2017,Huawei,10 nm,96.72 mm2,Transistor_count_2.csv
IBM z14 Storage Controller (64-bit),9700000000,2017,IBM,14 nm,696 mm2,Transistor_count_2.csv
"IBM z14 (64-bit, SIMD, caches)",6100000000,2017,IBM,14 nm,696 mm2,Transistor_count_2.csv
"POWER9 (64-bit, SIMD, caches)",8000000000,2017,IBM,14 nm,695 mm2,Transistor_count_2.csv
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V (64-bit, caches)",250000000,2017,SiFive,28 nm,~30 mm2,Transistor_count_2.csv
"SPARC64 XII (12-core 64-bit, SIMD, caches)",5450000000,2017,Fujitsu,20 nm,795 mm2,Transistor_count_2.csv
"Apple A10X Fusion (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4300000000,2017,Apple,10 nm,96.40 mm2,Transistor_count_2.csv
"Centriq 2400 (64/32-bit, SIMD, caches)",18000000000,2017,Qualcomm,10 nm,398 mm2,Transistor_count_2.csv
"AMD Epyc (32-core 64-bit, SIMD, caches)",19200000000,2017,AMD,14 nm,768 mm2,Transistor_count_2.csv
?,68719476736,2017,Samsung,20 nm,?,Transistor_count_5.csv
"Ryzen 5 1600 X Ryzen (64-bit, SIMD, caches)",4800000000,2017,AMD,14 nm,213 mm2,Transistor_count_2.csv
"Ryzen 5 1600 Ryzen (64-bit, SIMD, caches)",4800000000,2017,AMD,14 nm,213 mm2,Transistor_count_2.csv
"Zeppelin SoC Ryzen (64-bit, SIMD, caches)",4800000000,2017,AMD,14 nm,192 mm2,Transistor_count_2.csv
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4300000000,2017,Apple,10 nm,89.23 mm2,Transistor_count_2.csv
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5300000000,2017,Qualcomm,10 nm,94 mm2,Transistor_count_2.csv
GV100 Volta,21100000000,2017,Nvidia,12 nm,815 mm2,Transistor_count_3.csv
?,137438953472,2018,Samsung,10 nm,?,Transistor_count_5.csv
Colossus GC2,23600000000,2018,Graphcore,16 nm,~800 mm2,Transistor_count_10.csv
Tegra Xavier SoC (64/32-bit),9000000000,2018,Nvidia,12 nm,350 mm2,Transistor_count_2.csv
Vega 20 GCN5,13230000000,2018,AMD,7 nm,331 mm2,Transistor_count_3.csv
TU104 Turing,13600000000,2018,Nvidia,12 nm,545 mm2,Transistor_count_3.csv
TU102 Turing,18600000000,2018,Nvidia,12 nm,754 mm2,Transistor_count_3.csv
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",5500000000,2018,Huawei,12 nm,?,Transistor_count_2.csv
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"", SIMD, caches)",6900000000,2018,Apple,7 nm,83.27 mm2,Transistor_count_2.csv
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",6900000000,2018,Huawei,7 nm,74.13 mm2,Transistor_count_2.csv
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",8500000000,2018,Qualcomm,7 nm,112 mm2,Transistor_count_2.csv
"Apple A12X Bionic (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",10000000000,2018,Apple,7 nm,122 mm2,Transistor_count_2.csv
"Fujitsu A64FX (64/32-bit, SIMD, caches)",8786000000,2018,Fujitsu,7 nm,?,Transistor_count_2.csv
TU106 Turing,10800000000,2018,Nvidia,12 nm,445 mm2,Transistor_count_3.csv
,43300000000,2019,Intel,14 nm,"1,400 mm2",Transistor_count_4.csv
HiSilicon Kirin 990 4G,8000000000,2019,Huawei,7 nm,90.00 mm2,Transistor_count_2.csv
"Apple A13 (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",8500000000,2019,Apple,7 nm,98.48 mm2,Transistor_count_2.csv
"IBM z15 CP chip (12 cores, 256 MB L3 cache)",9200000000,2019,IBM,14 nm,696 mm2,Transistor_count_2.csv
IBM z15 SC chip (960 MB L4 cache),12200000000,2019,IBM,14 nm,696 mm2,Transistor_count_2.csv
"AMD Ryzen 9 3900X (64-bit, SIMD, caches, I/O die)",9890000000,2019,AMD,7 & 12 nm (TSMC),273 mm2,Transistor_count_2.csv
HiSilicon Kirin 990 5G,10300000000,2019,Huawei,7 nm,113.31 mm2,Transistor_count_2.csv
"AWS Graviton2 (64-bit, 64-core ARM-based, SIMD, caches)",30000000000,2019,Amazon,7 nm,?,Transistor_count_2.csv
"AMD Epyc Rome (64-bit, SIMD, caches)",39540000000,2019,AMD,7 & 12 nm (TSMC),"1,008 mm2",Transistor_count_2.csv
Wafer Scale Engine,1200000000000,2019,Cerebras,16 nm,"46,225 mm2",Transistor_count_10.csv
"AMD Ryzen 7 3700X (64-bit, SIMD, caches, I/O die)",5990000000,2019,AMD,7 & 12 nm (TSMC),199 (74+125) mm2,Transistor_count_2.csv
TU116 Turing,6600000000,2019,Nvidia,12 nm,284 mm2,Transistor_count_3.csv
"Qualcomm Snapdragon 855 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",6700000000,2019,Qualcomm,7 nm,73 mm²,Transistor_count_2.csv
,37000000000,2019,Xilinx,7 nm,,Transistor_count_4.csv
eUFS (1 TB),2048000000000,2019,Samsung,?,150 mm2,Transistor_count_6.csv
TU117 Turing,4700000000,2019,Nvidia,12 nm,200 mm2,Transistor_count_3.csv
Navi 10 RDNA1,10300000000,2019,AMD,7 nm,251 mm2,Transistor_count_3.csv
Navi 14 RDNA1,6400000000,2019,AMD,7 nm,158 mm2,Transistor_count_3.csv
,35000000000,2020,Xilinx,16 nm,900 mm2,Transistor_count_4.csv
"TI Jacinto TDA4VM (ARM A72, DSP, SRAM)",3500000000,2020,Texas Instruments,16 nm,?,Transistor_count_2.csv
"Apple A14 Bionic (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",11800000000,2020,Apple,5 nm,88 mm2,Transistor_count_2.csv
Navi 21 RDNA2,26800000000,2020,AMD,7 nm,520 mm²,Transistor_count_3.csv
"Apple M1 (octa-core 64-bit ARM64 SoC, SIMD, caches)",16000000000,2020,Apple,5 nm,119 mm2,Transistor_count_2.csv
"Qualcomm Snapdragon 865 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",10300000000,2020,Qualcomm,7 nm,83.54 mm2,Transistor_count_2.csv
GA104 Ampere,17400000000,2020,Nvidia,8 nm,392 mm²,Transistor_count_3.csv
Wafer Scale Engine 2,2600000000000,2020,Cerebras,7 nm,"46,225 mm2",Transistor_count_10.csv
GA102 Ampere,28300000000,2020,Nvidia,8 nm,628 mm2,Transistor_count_3.csv
GA100 Ampere,54200000000,2020,Nvidia,7 nm,826 mm2,Transistor_count_3.csv
Arcturus CDNA1,25600000000,2020,AMD,7 nm,750 mm2,Transistor_count_3.csv
HiSilicon Kirin 9000,15300000000,2020,Huawei,5 nm,114 mm2,Transistor_count_2.csv
Dimensity 9000 (ARM64 SoC),15300000000,2021,Mediatek,4 nm (TSMC N4),?,Transistor_count_2.csv
Power10 dual-chip module (30 SMT8 cores or 60 SMT4 cores),36000000000,2021,IBM,7 nm,"1,204 mm2",Transistor_count_2.csv
"Apple M1 Max (10-core, 64-bit)",57000000000,2021,Apple,5 nm,420.2 mm2,Transistor_count_2.csv
Apple A15,15000000000,2021,Apple,5 nm,107.68 mm2,Transistor_count_2.csv
Aldebaran CDNA2,58200000000,2021,AMD,6 nm,?,Transistor_count_3.csv
Navi 23 RDNA2,11060000000,2021,AMD,7 nm,237 mm²,Transistor_count_3.csv
Navi 22 RDNA2,17200000000,2021,AMD,7 nm,335 mm²,Transistor_count_3.csv
GA106 Ampere,13250000000,2021,Nvidia,8 nm,276 mm²,Transistor_count_3.csv
,92000000000,2021,Xilinx,7 nm,,Transistor_count_4.csv
"AMD Ryzen 7 5800H (64-bit, SIMD, caches, I/O and GPU)",10700000000,2021,AMD,7 nm,180 mm2,Transistor_count_2.csv
"Apple M1 Pro (10-core, 64-bit)",33700000000,2021,Apple,5 nm,245 mm2,Transistor_count_2.csv
NVLink4 NVSwitch,25100000000,2022,Nvidia,N4 (4 nm),294 mm2,Transistor_count_10.csv
"IBM Telum dual-chip module (2×8 cores, 2×256 MB cache)",45000000000,2022,IBM,7 nm (Samsung),"1,060 mm2",Transistor_count_2.csv
"Apple M1 Ultra (dual-chip module, 2×10 cores)",114000000000,2022,Apple,5 nm,840.5 mm2,Transistor_count_2.csv
"AMD Epyc 7773X (Milan-X) (multi-chip module, 64 cores, 768 MB L3 cache)",26000000000,2022,AMD,7 & 12 nm (TSMC),"1,352 mm2 (Milan + 8×36)",Transistor_count_2.csv
"Apple M2 (deca-core 64-bit ARM64 SoC, SIMD, caches)",20000000000,2022,Apple,5 nm,?,Transistor_count_2.csv
?,5333333333333,2022,Micron,?,68.5 mm2 (memory array),Transistor_count_6.csv
Dimensity 9200 (ARM64 SoC),17000000000,2022,Mediatek,4 nm (TSMC N4P),?,Transistor_count_2.csv
?,333333333333,2022,Micron,?,68.5 mm2 (memory array),Transistor_count_6.csv
AD104 Ada Lovelace,35800000000,2022,Nvidia,4 nm,294.5 mm²,Transistor_count_3.csv
AD103 Ada Lovelace,45900000000,2022,Nvidia,4 nm,378.6 mm²,Transistor_count_3.csv
AD102 Ada Lovelace,76300000000,2022,Nvidia,4 nm,608.4 mm²,Transistor_count_3.csv
GH100 Hopper,80000000000,2022,Nvidia,4 nm,814 mm²,Transistor_count_3.csv
Navi 24 RDNA2,5400000000,2022,AMD,6 nm,107 mm²,Transistor_count_3.csv
Apple A16 (ARM64 SoC),16000000000,2022,Apple,4 nm,?,Transistor_count_2.csv
Navi 31 RDNA3,58000000000,2022,AMD,5 nm (GCD) 6 nm (MCD),531 mm² (MCM) 306 mm² (GCD) 6×37.5 mm² (MCD),Transistor_count_3.csv
Sapphire Rapids quad-chip module (up to 60 cores and 112.5 MB of cache),4400000000048000000000,2023,Intel,Intel 7 (10 nm ESF),"1,600 mm2",Transistor_count_2.csv
"Apple M2 Pro (12-core 64-bit ARM64 SoC, SIMD, caches)",40000000000,2023,Apple,5 nm,?,Transistor_count_2.csv
"Apple M2 Max (12-core 64-bit ARM64 SoC, SIMD, caches)",67000000000,2023,Apple,5 nm,?,Transistor_count_2.csv
